source_type,model,nome,segment,risk_profile,recent_event,has_existing_security,wtp_brl,decisao,objecoes,sentimento,confianca,bairro
ensemble,gpt-4o-mini,Maria Oliveira,loja_roupas,crisis_driven,slow_month,none,348.98,agendou,budget|skepticism,0.43,0.53,unknown
ensemble,gpt-4o-mini,Renata Costa,loja_roupas,crisis_driven,renovation,full_system,883.61,visualizou,existing_solution,0.1,0.6333333333333333,unknown
ensemble,gpt-4o-mini,Gabriela Souza,loja_roupas,pragmatic,competitor_new,full_system,534.63,visualizou,existing_solution,0.13333333333333333,0.7333333333333333,unknown
ensemble,gpt-4o-mini,Camila Lima,loja_roupas,conservative,renovation,full_system,403.3,visualizou,existing_solution|skepticism,0.13333333333333333,0.6333333333333333,unknown
ensemble,gpt-4o-mini,Antonio Mendes,loja_roupas,pragmatic,none,full_system,728.86,visualizou,existing_solution,0.2,0.8,unknown
ensemble,gpt-4o-mini,Daniel Ribeiro,loja_roupas,conservative,renovation,alarm_monitored,464.15,visualizou,existing_solution|skepticism,0.2,0.8,unknown
ensemble,gpt-4o-mini,Leticia Ribeiro,loja_roupas,crisis_driven,theft,diy_cameras,566.27,agendou,,0.8,0.9666666666666667,unknown
ensemble,gpt-4o-mini,Francisco Lima,loja_roupas,pragmatic,none,diy_cameras,673.89,visualizou,existing_solution|skepticism,0.2,0.4,unknown
ensemble,gpt-4o-mini,Bruno Almeida,loja_roupas,innovator,none,diy_cameras,629.21,visualizou,existing_solution,0.16,0.8,unknown
ensemble,command-a-03-2025,Joao Araujo,loja_roupas,crisis_driven,none,none,712.49,visualizou,budget|skepticism|need_lack|existing_solution,0.14,0.27,unknown
ensemble,command-a-03-2025,Eduardo Mendes,loja_roupas,conservative,none,alarm_monitored,686.43,visualizou,budget|existing_solution|skepticism,0.2,0.53,unknown
ensemble,command-a-03-2025,Renata Souza,loja_roupas,pragmatic,slow_month,none,791.27,visualizou,budget|timing|skepticism|need_lack,0.2875,0.2875,unknown
ensemble,command-a-03-2025,Bruno Nascimento,loja_roupas,conservative,renovation,diy_cameras,913.46,visualizou,existing_solution|skepticism|budget|complexity|need_lack,0.1875,0.225,unknown
ensemble,command-a-03-2025,Beatriz Nascimento,loja_roupas,pragmatic,competitor_new,diy_cameras,645.46,visualizou,skepticism|need_lack|existing_solution|budget,0.2,0.225,unknown
ensemble,command-a-03-2025,Daniel Oliveira,loja_roupas,pragmatic,slow_month,full_system,378.09,visualizou,budget|existing_solution|timing,0.1875,0.64375,unknown
ensemble,command-a-03-2025,Marcelo Ferreira,loja_roupas,conservative,slow_month,diy_cameras,942.95,visualizou,existing_solution|budget|need_lack,0.24,0.61,unknown
ensemble,command-a-03-2025,Juliana Silva,loja_roupas,pragmatic,slow_month,diy_cameras,962.79,visualizou,budget|skepticism|existing_solution|complexity|need_lack,0.1875,0.2475,unknown
ensemble,command-a-03-2025,Gabriela Rodrigues,loja_roupas,crisis_driven,slow_month,diy_cameras,536.66,visualizou,budget|skepticism|existing_solution|timing|need_lack,0.1714,0.1857,unknown
ensemble,command-a-03-2025,Renata Souza,loja_roupas,crisis_driven,none,none,865.25,visualizou,budget|skepticism|need_lack,0.1875,0.2125,unknown
ensemble,command-a-03-2025,Ana Oliveira,loja_roupas,conservative,none,none,398.13,visualizou,budget|skepticism|need_lack|existing_solution|timing,0.34,0.73,unknown
ensemble,command-a-03-2025,Gabriela Ferreira,loja_roupas,conservative,renovation,none,449.62,agendou,need_lack,0.59,0.64,unknown
ensemble,command-a-03-2025,Antonio Silva,loja_roupas,crisis_driven,renovation,full_system,705.43,visualizou,existing_solution|skepticism,0.01,0.18,unknown
ensemble,command-a-03-2025,Felipe Costa,loja_roupas,pragmatic,none,diy_cameras,327.82,visualizou,budget|skepticism|existing_solution|need_lack,0.2875,0.64375,unknown
ensemble,command-a-03-2025,Lucas Nascimento,loja_roupas,innovator,theft,alarm_monitored,997.27,agendou,existing_solution,0.73,0.82,unknown
ensemble,command-a-03-2025,Andre Souza,loja_roupas,innovator,none,diy_cameras,957.25,clicou,existing_solution|timing|skepticism|need_lack,0.3875,0.7375,unknown
ensemble,command-a-03-2025,Gabriela Oliveira,loja_roupas,pragmatic,renovation,diy_cameras,330.86,visualizou,existing_solution|timing|skepticism|need_lack,0.3875,0.78125,unknown
ensemble,command-a-03-2025,Debora Santos,loja_roupas,conservative,none,full_system,403.67,visualizou,existing_solution|skepticism|need_lack,0.19,0.65,unknown
ensemble,command-a-03-2025,Maria Lima,loja_roupas,pragmatic,none,alarm_monitored,983.34,visualizou,existing_solution|need_lack,0.31,0.82,unknown
ensemble,command-a-03-2025,Aline Pereira,loja_roupas,pragmatic,slow_month,diy_cameras,874.38,visualizou,existing_solution|budget|timing|skepticism,0.19,0.31,unknown
ensemble,command-a-03-2025,Beatriz Silva,loja_roupas,pragmatic,competitor_new,alarm_monitored,973.77,visualizou,existing_solution|skepticism,0.11,0.13,unknown
ensemble,command-a-03-2025,Maria Oliveira,loja_roupas,crisis_driven,slow_month,none,348.98,visualizou,need_lack|skepticism|budget,0.31,0.41,unknown
ensemble,command-a-03-2025,Renata Costa,loja_roupas,crisis_driven,renovation,full_system,883.61,visualizou,existing_solution|complexity,0.2,0.48,unknown
ensemble,command-a-03-2025,Gabriela Souza,loja_roupas,pragmatic,competitor_new,full_system,534.63,visualizou,existing_solution|skepticism|budget|need_lack,0.29,0.63,unknown
ensemble,command-a-03-2025,Camila Lima,loja_roupas,conservative,renovation,full_system,403.3,visualizou,existing_solution|skepticism|budget|need_lack|timing,0.1857,0.5571,unknown
ensemble,command-a-03-2025,Antonio Mendes,loja_roupas,pragmatic,none,full_system,728.86,visualizou,existing_solution|need_lack,0.24,0.83,unknown
ensemble,command-a-03-2025,Daniel Ribeiro,loja_roupas,conservative,renovation,alarm_monitored,464.15,visualizou,budget|existing_solution|timing|complexity,0.25,0.63,unknown
ensemble,command-a-03-2025,Leticia Ribeiro,loja_roupas,crisis_driven,theft,diy_cameras,566.27,agendou,complexity,0.76,0.9,unknown
ensemble,command-a-03-2025,Francisco Lima,loja_roupas,pragmatic,none,diy_cameras,673.89,visualizou,existing_solution|skepticism|need_lack,0.1857,0.2286,unknown
ensemble,command-a-03-2025,Bruno Almeida,loja_roupas,innovator,none,diy_cameras,629.21,visualizou,budget|skepticism|existing_solution|need_lack,0.41,0.78,unknown
ensemble,command-a-03-2025,Joao Araujo,loja_roupas,crisis_driven,none,none,712.49,clicou,budget|skepticism|need_lack,0.28,0.43,unknown
ensemble,command-a-03-2025,Eduardo Mendes,loja_roupas,conservative,none,alarm_monitored,686.43,agendou,budget|existing_solution,0.41,0.58,unknown
nicho_baseline,command-a-03-2025,Jose Nascimento,loja_roupas,crisis_driven,theft,diy_cameras,700.13,agendou,,0.8,0.7,unknown
nicho_baseline,command-a-03-2025,Bruno Barros,loja_roupas,conservative,none,full_system,459.7,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Ana Ferreira,loja_roupas,crisis_driven,renovation,none,781.84,agendou,,0.8,0.7,unknown
nicho_baseline,command-a-03-2025,Mateus Silva,loja_roupas,pragmatic,slow_month,alarm_monitored,371.0,visualizou,existing_solution,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Lucas Silva,loja_roupas,innovator,none,alarm_monitored,583.02,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Maria Nascimento,loja_roupas,pragmatic,none,alarm_monitored,697.51,visualizou,existing_solution|timing,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Fernanda Rodrigues,loja_roupas,pragmatic,theft,full_system,998.14,agendou,,0.7,0.5,unknown
nicho_baseline,command-a-03-2025,Carlos Barros,loja_roupas,crisis_driven,none,none,849.29,agendou,,0.8,0.9,unknown
nicho_baseline,command-a-03-2025,Daniel Nascimento,loja_roupas,crisis_driven,renovation,alarm_monitored,717.83,visualizou,existing_solution,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Mateus Pereira,loja_roupas,crisis_driven,renovation,none,352.84,agendou,,0.7,0.8,unknown
nicho_baseline,command-a-03-2025,Andre Barros,loja_calcados,crisis_driven,none,none,466.91,visualizou,budget|skepticism,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Carlos Ferreira,loja_calcados,pragmatic,renovation,diy_cameras,795.04,visualizou,timing|existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Patricia Costa,loja_calcados,innovator,slow_month,diy_cameras,430.73,visualizou,budget|existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Patricia Oliveira,loja_calcados,crisis_driven,none,full_system,455.16,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Camila Almeida,loja_calcados,pragmatic,slow_month,diy_cameras,512.9,visualizou,existing_solution,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Camila Rodrigues,loja_calcados,conservative,none,full_system,291.36,visualizou,existing_solution,0.2,0.0,unknown
nicho_baseline,command-a-03-2025,Debora Almeida,loja_calcados,conservative,renovation,diy_cameras,683.31,visualizou,budget|existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Rafael Ribeiro,loja_calcados,conservative,slow_month,alarm_monitored,423.14,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Debora Santos,loja_calcados,crisis_driven,none,alarm_monitored,308.79,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Bruno Santos,loja_calcados,pragmatic,theft,diy_cameras,268.88,agendou,,0.7,0.8,unknown
nicho_baseline,command-a-03-2025,Eduardo Mendes,farmacia,innovator,renovation,alarm_monitored,801.98,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Mateus Souza,farmacia,pragmatic,slow_month,full_system,750.32,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Carlos Mendes,farmacia,pragmatic,slow_month,full_system,808.45,visualizou,existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Rafael Lima,farmacia,pragmatic,competitor_new,diy_cameras,832.87,visualizou,existing_solution|skepticism,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Luana Ferreira,farmacia,pragmatic,renovation,full_system,338.34,visualizou,existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Antonio Rodrigues,farmacia,pragmatic,slow_month,diy_cameras,741.18,visualizou,existing_solution,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Jose Nascimento,farmacia,pragmatic,none,alarm_monitored,868.45,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Rafael Ribeiro,farmacia,conservative,none,alarm_monitored,985.65,visualizou,existing_solution,0.2,0.7,unknown
nicho_baseline,command-a-03-2025,Leticia Santos,farmacia,crisis_driven,none,diy_cameras,905.25,visualizou,timing|existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Ana Costa,farmacia,innovator,slow_month,alarm_monitored,743.98,visualizou,existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Carlos Araujo,autopecas,pragmatic,none,full_system,490.53,visualizou,existing_solution|timing,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Felipe Ribeiro,autopecas,crisis_driven,none,full_system,333.32,visualizou,existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Bruno Nascimento,autopecas,pragmatic,none,full_system,444.8,visualizou,existing_solution,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Marcelo Nascimento,autopecas,crisis_driven,slow_month,alarm_monitored,534.35,visualizou,existing_solution,0.2,0.7,unknown
nicho_baseline,command-a-03-2025,Beatriz Lima,autopecas,conservative,theft,alarm_monitored,484.06,agendou,,0.7,0.6,unknown
nicho_baseline,command-a-03-2025,Fernanda Mendes,autopecas,pragmatic,renovation,diy_cameras,663.76,visualizou,existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Fernanda Silva,autopecas,conservative,none,alarm_monitored,267.48,visualizou,existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Andre Ribeiro,autopecas,pragmatic,slow_month,diy_cameras,615.96,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Francisco Mendes,autopecas,conservative,renovation,full_system,685.54,visualizou,existing_solution,0.2,0.0,unknown
nicho_baseline,command-a-03-2025,Leticia Silva,autopecas,pragmatic,competitor_new,alarm_monitored,409.61,visualizou,existing_solution,0.2,0.4,unknown
nicho_baseline,command-a-03-2025,Tatiana Silva,mercearia,pragmatic,renovation,alarm_monitored,272.18,visualizou,budget|existing_solution,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Andre Souza,mercearia,pragmatic,none,alarm_monitored,153.03,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Francisco Pereira,mercearia,conservative,none,diy_cameras,408.86,visualizou,budget|existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Debora Costa,mercearia,conservative,theft,none,365.6,agendou,,0.8,0.7,unknown
nicho_baseline,command-a-03-2025,Joao Araujo,mercearia,conservative,competitor_new,diy_cameras,257.97,visualizou,existing_solution|complexity,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Camila Ribeiro,mercearia,conservative,renovation,alarm_monitored,430.49,visualizou,existing_solution|budget,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Juliana Ferreira,mercearia,crisis_driven,competitor_new,none,268.97,visualizou,need_lack,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Camila Silva,mercearia,pragmatic,competitor_new,diy_cameras,451.72,visualizou,existing_solution|skepticism,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Mateus Araujo,mercearia,pragmatic,none,diy_cameras,307.21,visualizou,budget|existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Camila Oliveira,mercearia,conservative,none,none,296.45,visualizou,budget,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Felipe Costa,bar,innovator,renovation,diy_cameras,658.14,visualizou,existing_solution|need_lack,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Ana Almeida,bar,pragmatic,theft,full_system,513.63,agendou,,0.7,0.8,unknown
nicho_baseline,command-a-03-2025,Camila Silva,bar,pragmatic,theft,diy_cameras,460.43,agendou,,0.8,0.9,unknown
nicho_baseline,command-a-03-2025,Francisco Ribeiro,bar,conservative,slow_month,full_system,581.42,visualizou,existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Felipe Araujo,bar,crisis_driven,none,alarm_monitored,691.62,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Joao Pereira,bar,conservative,slow_month,diy_cameras,510.96,visualizou,existing_solution|skepticism,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Andre Nascimento,bar,innovator,slow_month,alarm_monitored,284.91,visualizou,existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Andre Oliveira,bar,pragmatic,slow_month,none,257.52,visualizou,budget|need_lack,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Luana Pereira,bar,pragmatic,renovation,diy_cameras,206.82,visualizou,existing_solution,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Antonio Nascimento,bar,crisis_driven,renovation,diy_cameras,342.58,visualizou,budget|existing_solution,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Beatriz Santos,hamburgueria,crisis_driven,none,full_system,484.85,visualizou,existing_solution|timing,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Simone Santos,hamburgueria,pragmatic,slow_month,full_system,621.76,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Maria Costa,hamburgueria,pragmatic,none,full_system,687.59,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Simone Ferreira,hamburgueria,pragmatic,theft,full_system,474.05,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Renata Almeida,hamburgueria,pragmatic,slow_month,alarm_monitored,651.14,visualizou,existing_solution|skepticism,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Luana Santos,hamburgueria,crisis_driven,slow_month,none,688.2,visualizou,budget|skepticism,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Simone Rodrigues,hamburgueria,crisis_driven,renovation,none,661.84,visualizou,need_lack,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Rafael Silva,hamburgueria,conservative,slow_month,diy_cameras,582.51,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Jose Ferreira,hamburgueria,crisis_driven,none,diy_cameras,789.0,visualizou,existing_solution|need_lack,0.2,0.5,unknown
nicho_baseline,command-a-03-2025,Simone Santos,hamburgueria,conservative,slow_month,none,738.12,visualizou,budget,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Marcelo Lima,oficina,pragmatic,none,full_system,410.3,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Francisco Barros,oficina,pragmatic,slow_month,diy_cameras,549.07,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Aline Santos,oficina,innovator,renovation,alarm_monitored,213.18,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Renata Nascimento,oficina,conservative,slow_month,diy_cameras,314.64,visualizou,budget|existing_solution,0.2,0.1,unknown
nicho_baseline,command-a-03-2025,Joao Pereira,oficina,innovator,competitor_new,full_system,322.16,visualizou,existing_solution,0.2,0.8,unknown
nicho_baseline,command-a-03-2025,Joao Souza,oficina,crisis_driven,renovation,full_system,416.92,visualizou,existing_solution|timing,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Maria Ferreira,oficina,pragmatic,renovation,alarm_monitored,586.62,visualizou,existing_solution|skepticism,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Pedro Ferreira,oficina,pragmatic,none,full_system,542.52,visualizou,existing_solution,0.2,0.3,unknown
nicho_baseline,command-a-03-2025,Lucas Lima,oficina,conservative,slow_month,full_system,413.96,visualizou,existing_solution,0.2,0.6,unknown
nicho_baseline,command-a-03-2025,Debora Rodrigues,oficina,pragmatic,slow_month,full_system,447.24,visualizou,existing_solution,0.2,0.1,unknown
